question_id,stu1_answer,stu2_answer,stu3_answer,final_answer
1,B,A,A,A
2,A,A,A,A
3,A,A,A,A
4,A,A,A,A
5,A,A,A,A
6,A,A,A,A
7,D,B,B,B
8,D,D,D,D
9,A,A,A,A
10,B,B,B,B
11,A,A,A,A
12,A,A,A,A
13,A,A,A,A
14,A,A,A,A
15,A,A,A,A
16,A,A,A,A
17,A,A,D,A
18,A,A,A,A
19,D,D,D,D
20,C,C,C,C
21,D,D,D,D
22,D,D,D,D
23,B,B,A,B
24,A,A,A,A
25,A,A,A,A
26,A,A,A,A
27,A,A,A,A
28,A,A,A,A
29,D,D,D,D
30,A,A,A,A
31,B,D,D,D
32,C,C,C,C
33,B,B,B,B
34,C,A,A,A
35,A,A,A,A
36,A,A,A,A
37,A,A,A,A
38,A,A,A,A
39,B,B,B,B
40,C,C,C,C
41,D,D,D,D
42,A,A,A,A
43,B,A,B,B
44,D,D,A,D
45,A,A,A,A
46,A,A,A,A
47,A,A,A,A
48,A,A,A,A
49,A,A,D,A
50,C,C,C,C
51,C,C,C,C
52,A,C,C,C
53,A,A,A,A
54,B,B,C,B
55,B,B,A,B
56,A,A,A,A
57,A,A,A,A
58,A,A,A,A
59,A,A,A,A
60,A,B,B,B
61,C,C,C,C
62,A,B,A,A
63,C,D,C,C
64,A,A,A,A
65,B,B,A,B
66,A,A,A,A
67,A,A,A,A
68,A,A,A,A
69,A,A,A,A
70,A,A,A,A
71,A,A,A,A
72,A,A,A,A
73,A,A,A,A
74,B,B,B,B
75,C,C,C,C
76,D,D,D,D
77,B,A,A,A
78,A,A,A,A
79,A,A,A,A
80,A,A,A,A
81,A,A,A,A
82,A,A,B,A
83,D,D,D,D
84,B,B,A,B
85,B,B,B,B
86,A,A,A,A
87,A,A,A,A
88,D,D,A,D
89,A,A,A,A
90,A,A,A,A
91,A,A,A,A
92,A,A,A,A
93,A,A,C,A
94,C,C,C,C
95,B,B,B,B
96,D,D,D,D
97,C,C,C,C
98,D,D,D,D
99,B,B,B,B
100,A,A,A,A
101,A,A,A,A
102,A,A,A,A
103,A,A,A,A
104,A,C,C,C
105,C,C,C,C
106,D,D,D,D
107,A,A,A,A
108,B,B,D,B
109,B,B,B,B
110,B,A,A,A
111,A,A,A,A
112,A,A,A,A
113,A,A,A,A
114,A,A,A,A
115,A,B,B,B
116,C,C,C,C
117,A,B,A,A
118,C,B,B,B
119,B,B,B,B
120,A,A,A,A
121,D,A,A,A
122,A,A,A,A
123,A,A,A,A
124,A,A,A,A
125,A,A,B,A
126,D,D,D,D
127,A,A,A,A
128,C,C,C,C
129,D,D,D,D
130,C,C,C,C
131,D,B,C,D
132,A,A,A,A
133,A,A,A,A
134,A,A,A,A
135,A,A,A,A
136,A,A,D,A
137,A,A,A,A
138,B,B,B,B
139,D,D,D,D
140,C,C,C,C
141,A,C,C,C
142,C,C,A,C
143,A,A,A,A
144,A,A,A,A
145,A,A,A,A
146,A,A,A,A
147,B,D,D,D
148,B,B,A,B
149,A,A,A,A
150,D,D,D,D
151,D,D,D,D
152,A,C,A,A
153,A,A,A,A
154,A,A,A,A
155,A,A,A,A
156,A,A,A,A
157,A,A,B,A
158,A,A,A,A
159,B,B,B,B
160,C,C,C,C
161,B,B,B,B
162,A,A,A,A
163,D,D,A,D
164,A,A,A,A
165,A,A,A,A
166,A,A,A,A
167,A,A,A,A
168,A,A,C,A
169,B,B,B,B
170,C,C,C,C
171,D,D,D,D
172,C,C,C,C
173,D,D,D,D
174,C,C,A,C
175,A,A,A,A
176,A,A,A,A
177,A,A,A,A
178,A,A,A,A
179,A,D,D,D
180,B,B,B,B
181,D,D,B,D
182,C,C,C,C
183,C,C,C,C
184,B,B,B,B
185,D,A,A,A
186,A,A,A,A
187,A,A,A,A
188,A,A,A,A
189,A,A,A,A
190,B,B,B,B
191,C,C,C,C
192,B,B,B,B
193,C,C,C,C
194,A,A,A,A
195,D,D,D,D
196,A,A,A,A
197,A,A,A,A
198,A,A,A,A
199,A,A,A,A
200,A,A,C,A
201,B,B,D,B
202,C,C,C,C
203,A,A,A,A
204,C,B,C,C
205,D,A,D,D
206,B,A,A,A
207,A,A,A,A
208,A,A,A,A
209,A,A,A,A
210,A,A,A,A
211,A,A,C,A
212,C,C,C,C
213,A,A,A,A
214,B,B,B,B
215,C,C,C,C
216,C,C,C,C
217,D,A,A,A
218,A,A,A,A
219,A,A,A,A
220,A,A,A,A
221,A,A,A,A
222,A,A,A,A
223,B,B,B,B
224,C,A,A,A
225,B,D,B,B
226,D,D,D,D
227,C,C,C,C
228,B,B,B,B
229,A,A,A,A
230,A,A,A,A
231,A,A,A,A
232,A,A,A,A
233,A,A,A,A
234,B,B,B,B
235,B,A,A,A
236,B,B,B,B
237,C,C,C,C
238,C,A,D,D
239,D,D,D,D
240,A,A,A,A
241,A,A,A,A
242,A,A,A,A
243,A,A,A,A
244,A,A,D,A
245,A,A,A,A
246,B,B,C,B
247,D,D,D,D
248,A,B,B,B
249,B,B,B,B
250,B,C,A,A
251,A,A,A,A
252,A,A,A,A
253,A,A,A,A
254,A,A,A,A
