question_id,stu1_answer,stu2_answer,stu3_answer,final_answer
1,B,B,A,B
2,D,D,A,D
3,A,A,A,A
4,A,A,A,A
5,A,A,A,A
6,A,A,A,A
7,A,D,B,D
8,D,D,D,D
9,A,A,A,A
10,C,B,B,B
11,A,A,A,A
12,A,A,A,A
13,B,B,B,B
14,A,A,A,A
15,A,A,A,A
16,A,A,A,A
17,A,A,A,A
18,A,A,A,A
19,D,D,D,D
20,A,C,C,C
21,D,D,D,D
22,D,D,D,D
23,B,B,B,B
24,B,B,B,B
25,A,A,A,A
26,A,A,A,A
27,A,A,A,A
28,A,A,A,A
29,D,D,D,D
30,A,A,A,A
31,D,D,B,D
32,C,C,C,C
33,B,B,B,B
34,C,C,C,C
35,B,A,A,A
36,A,A,A,A
37,A,A,A,A
38,A,A,A,A
39,A,A,A,A
40,A,C,C,C
41,D,D,D,D
42,A,A,A,A
43,B,A,B,B
44,D,D,D,D
45,D,D,D,D
46,B,B,B,B
47,A,A,A,A
48,A,A,A,A
49,A,A,A,A
50,A,A,A,A
51,A,A,C,A
52,C,C,C,C
53,A,A,A,A
54,B,B,C,B
55,B,B,B,B
56,B,B,A,B
57,C,D,D,D
58,D,A,A,A
59,A,A,A,A
60,A,A,A,A
61,A,A,A,A
62,A,B,A,A
63,C,D,C,C
64,A,A,A,A
65,B,B,A,B
66,A,A,A,A
67,A,A,A,A
68,D,D,D,D
69,A,A,A,A
70,A,A,A,A
71,A,A,A,A
72,A,A,A,A
73,A,A,A,A
74,B,B,B,B
75,C,C,C,C
76,D,D,D,D
77,B,B,B,B
78,A,A,A,A
79,A,A,A,A
80,A,A,A,A
81,A,A,A,A
82,B,B,B,B
83,D,D,D,D
84,B,B,A,B
85,B,B,B,B
86,A,A,A,A
87,A,A,A,A
88,D,D,A,D
89,A,A,A,A
90,A,A,A,A
91,A,A,A,A
92,A,A,A,A
93,C,C,C,C
94,C,C,C,C
95,B,B,B,B
96,D,D,D,D
97,C,C,C,C
98,D,D,D,D
99,B,A,A,A
100,A,A,A,A
101,A,A,A,A
102,A,A,A,A
103,C,D,C,C
104,C,C,C,C
105,C,C,C,C
106,D,D,D,D
107,A,A,A,A
108,B,B,A,B
109,B,A,A,A
110,A,A,A,A
111,A,A,A,A
112,A,A,A,A
113,C,C,C,C
114,B,B,B,B
115,B,B,B,B
116,C,C,C,C
117,A,B,A,A
118,B,B,B,B
119,B,A,A,A
120,A,A,A,A
121,A,A,A,A
122,A,B,B,B
123,D,A,D,D
124,B,B,B,B
125,B,B,B,B
126,D,D,D,D
127,A,A,A,A
128,C,C,C,C
129,A,A,A,A
130,A,A,A,A
131,A,A,A,A
132,A,A,A,A
133,B,B,B,B
134,B,B,C,B
135,A,A,C,A
136,D,D,D,D
137,A,A,A,A
138,B,B,B,B
139,A,A,A,A
140,A,A,A,A
141,A,A,A,A
142,A,A,A,A
143,A,A,A,A
144,C,B,C,C
145,A,A,A,A
146,B,B,B,B
147,B,B,D,B
148,B,B,A,B
149,A,A,A,A
150,A,A,A,A
151,A,A,A,A
152,A,A,A,A
153,A,A,A,A
154,A,A,A,A
155,A,A,C,A
156,B,B,B,B
157,B,B,B,B
158,A,A,A,A
159,B,B,B,B
160,C,C,C,C
161,B,B,A,B
162,A,A,A,A
163,A,A,A,A
164,A,A,A,A
165,A,A,A,A
166,A,A,A,A
167,A,D,D,D
168,C,C,C,C
169,B,B,B,B
170,C,C,C,C
171,D,D,D,D
172,C,C,C,C
173,D,A,A,A
174,A,A,A,A
175,A,A,A,A
176,A,A,A,A
177,A,A,A,A
178,A,A,C,A
179,A,D,D,D
180,B,B,B,B
181,D,D,B,D
182,C,C,C,C
183,C,C,C,C
184,B,B,A,B
185,A,A,A,A
186,A,A,A,A
187,A,A,A,A
188,A,A,A,A
189,A,A,A,A
190,A,A,B,A
191,C,C,C,C
192,B,A,B,B
193,C,C,C,C
194,A,A,A,A
195,A,A,A,A
196,A,A,A,A
197,A,A,A,A
