question_id,stu1_answer,stu2_answer,stu3_answer,final_answer
1,B,B,B,B
2,A,A,A,A
3,A,A,A,A
4,A,A,A,A
5,A,A,A,A
6,A,A,A,A
7,A,D,B,B
8,D,D,D,D
9,A,A,A,A
10,C,B,B,B
11,A,A,A,A
12,A,A,A,A
13,B,B,B,B
14,D,D,A,D
15,A,A,A,A
16,A,A,A,A
17,A,A,A,A
18,A,A,A,A
19,A,A,D,A
20,A,C,C,C
21,D,D,D,D
22,D,D,D,D
23,B,B,B,B
24,B,B,B,B
25,B,B,B,B
26,C,C,C,C
27,A,A,A,A
28,A,A,A,A
29,A,A,A,A
30,A,A,A,A
31,A,A,A,A
32,C,C,C,C
33,B,B,B,B
34,C,C,C,C
35,B,B,B,B
36,B,B,B,B
37,D,D,D,D
38,A,A,A,A
39,B,A,A,A
40,A,A,A,A
41,A,A,A,A
42,A,A,A,A
43,A,A,A,A
44,A,A,A,A
45,D,D,D,D
46,B,B,B,B
47,B,B,B,B
48,D,D,D,D
49,D,D,D,D
50,C,C,C,C
51,C,C,C,C
52,C,A,A,A
53,A,A,A,A
54,A,A,A,A
55,A,A,A,A
56,A,A,A,A
57,A,A,D,A
58,D,D,D,D
59,D,D,D,D
60,B,B,B,B
61,C,C,C,C
62,B,B,A,B
63,C,D,C,C
64,A,A,A,A
65,B,A,A,A
66,A,A,A,A
67,A,A,A,A
68,A,A,A,A
69,A,A,A,A
70,A,A,A,A
71,A,A,C,A
72,A,A,A,A
73,A,A,A,A
74,B,B,B,B
75,C,C,C,C
76,D,D,D,D
77,B,B,A,B
78,A,A,A,A
79,A,A,A,A
80,A,A,A,A
81,A,A,A,A
82,A,B,B,B
83,D,D,D,D
84,B,B,B,B
85,B,B,B,B
86,A,A,A,A
87,A,A,A,A
88,D,D,D,D
89,D,D,A,D
90,A,A,A,A
91,A,A,A,A
92,A,A,A,A
93,A,A,A,A
94,A,A,A,A
95,B,B,B,B
96,D,D,D,D
97,C,C,C,C
98,D,D,A,D
99,B,B,B,B
100,C,C,C,C
101,A,A,A,A
102,A,A,A,A
103,A,A,A,A
104,A,A,A,A
105,A,A,A,A
106,A,A,A,A
107,A,A,A,A
108,B,B,D,B
109,B,B,B,B
110,B,A,A,A
111,A,B,A,A
112,D,D,D,D
113,C,C,C,C
114,B,B,B,B
115,A,A,A,A
